date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
2022-04-11,,"Integrated Health and Nutrition Services for Crisis Affected populations To Enhance Access to High Quality and Life Saving Services in Baardhere district , Gedo Region Somalia",269988,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Human Development Concern,NGO,Nutrition,SOM,"Project Title: Provide immediate lifesaving Basic Nutrition Service Package support to <5 children boys, girls, and pregnant and lactating women in Bardhere, Dollow, Garbaharey and Ceelwaq district of Gedo region. ",HSOM22-NUT-184552-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-11,,,,,250186,SOM-22/3485/SA1/H-Nut/NGO/21430,2022-04-18,2022-04-18
2022-04-11,,"Provision of emergency and essential lifesaving health and protection services for the crisis-affected population in Ceelwaq district Gedo region Somalia (US $ 50,000 for GBV)",250000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Human Development Concern,NGO,Health,SOM,"Provision Of Emergency Life-Saving Primary And Secondary Health Care, For Crisis Affected Populations In Baardhere, Dollow, Garbaharey And Ceel-Waaq Districts In Gedo Region",HSOM22-HEA-184527-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-11,,,,,250187,SOM-22/3485/SA1/H-GBV/NGO/21427,2022-04-18,2022-04-18
2022-04-11,,"Provision of emergency Food assistance, Seasonally appropriate livelihood inputs and Restoration of productive communal asset in Badhadhe district of Lower Juba region of Somalia.",319443,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Solutions for Humanity International,NGO,Food Security,SOM,Lifesaving food and Livelihood assistance for drought and affected community in Lower Juba region of Somalia.,HSOM22-FSC-184656-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-11,,,,,250200,SOM-22/3485/SA1/FSC/NGO/21560,2022-04-19,2022-04-19
2022-04-11,2022,"Support to food, nutritional security and protection of livelihood assets of drought affected vulnerable households in Garowe district Nugaal region",430000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Action Contre la Faim,NGO,Food Security,SOM,,,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-01,2022-04-11,Drought,,,,254580,SOM-22/3485/SA1/FSC/INGO/21442,2022-07-01,2022-11-25
2022-04-11,2022,Providing Quality Education Access to Drought affected Children in a Safe and Protective Learning Environment,719764,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Himilo Relief and Development Association,NGO,Education,SOM,,,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-01,2022-04-11,Drought,,,,254710,SOM-22/3485/SA1/Ed-CP/NGO/21463,2022-07-01,2022-11-25
2022-04-11,2022,Providing Quality Education Access to Drought affected Children in a Safe and Protective Learning Environment,179941,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Himilo Relief and Development Association,NGO,Protection - Child Protection,SOM,,,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-01,2022-04-11,Drought,,,,254711,SOM-22/3485/SA1/Ed-CP/NGO/21463,2022-07-01,2022-11-25
2022-04-11,,Integrated health and nutrition response to drought affected communities in xudur district Bakool region,224323,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Hidig Relief And Development Organization,NGO,Health,SOM,"Provision of emergency life-saving essential health care services through static and mobile/outreach to crisis affected populations in Bay, Bakool and Hiran region Somalia",HSOM22-HEA-184422-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-11,,,,,264221,SOM-22/3485/RA3/Nut-H/NGO/22692,2022-11-25,2022-11-25
2022-04-07,,Provision of integrated lifesaving GBV and primary health care services for IDPs and vulnerable populations in Ceelwaaq District in Gedo Region.,200044,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Action for Relief and Development,NGO,Health,SOM,,,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-07,,,,,250159,SOM-22/3485/SA1/H-GBV/NGO/21505,2022-04-18,2022-04-18
2022-04-07,,Provision of integrated lifesaving GBV and primary health care services for IDPs and vulnerable populations in Ceelwaaq District in Gedo Region.,50011,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Action for Relief and Development,NGO,Protection - Gender-Based Violence,SOM,,,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-07,,,,,250160,SOM-22/3485/SA1/H-GBV/NGO/21505,2022-04-18,2022-04-18
2022-04-07,,"Integrated provision of emergency lifesaving primary health care services and strengthening direct access to GBV services through principled referrals, risk prevention for internally displaced people (IDPs) and other persons affected by droughts within Afmadow district of Lower Juba Region.",299953,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Banadir Development Foundation,NGO,Health,SOM,,,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-07,,,,,250162,SOM-22/3485/SA1/H-GBV/NGO/21440,2022-04-18,2022-04-18
2022-04-07,,"Integrated provision of emergency lifesaving primary health care services and strengthening direct access to GBV services through principled referrals, risk prevention for internally displaced people (IDPs) and other persons affected by droughts within Afmadow district of Lower Juba Region.",199969,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Banadir Development Foundation,NGO,Protection - Gender-Based Violence,SOM,,,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-07,,,,,250163,SOM-22/3485/SA1/H-GBV/NGO/21440,2022-04-18,2022-04-18
2022-04-07,,Lighting Right: Addressing the complex education and protection needs of children in drought affected parts of Somalia,553576,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,American Refugee Committee (Alight),NGO,Protection - Child Protection,SOM,"To provide access to basic child protection services including child friendly spaces and tracing, reunification or alternative care for UASC to the affected children.",HSOM22-PRO-184755-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-07,,,,,250176,SOM-22/3485/SA1/Ed-CP/INGO/21496,2022-04-18,2022-04-18
2022-04-07,,"Provision of equitable access to quality integrated lifesaving curative and preventive emergency primary health care and nutrition services to drought affected children, women and men including disables in Garbaharey District, Somalia. Nutrition (54%), Health (46%)",499396,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Gedo Women Development Organization,NGO,Nutrition,SOM,"Strategic Provision of Integrated Nutrition support to improve Basic Nutrition services and strengthen social service provision, resilience and improve Governance for enhanced service delivery and community based public health interventions benefiting 6-59 months children and PLW in Garbaharey district of Gedo Region.",HSOM22-NUT-184753-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-07,,,,,250181,SOM-22/3485/SA1/Nut-H/NGO/21460,2022-04-18,2022-04-18
2022-04-07,,"Integrated shelter, HLP and CCCM assistance to displacement affected community in Bossaso",385000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Norwegian Refugee Council,NGO,Emergency Shelter and NFI,SOM,Provision of  Shelter assistance to displacement affected communities including poor host communities in Somalia,HSOM22-SHL-184476-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-07,,,,,250196,SOM-22/3485/SA1/Shelter-HLP/INGO/21510,2022-04-19,2022-04-19
2022-04-07,,"Integrated shelter, HLP and CCCM assistance to displacement affected community in Bossaso",165000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Norwegian Refugee Council,NGO,"Protection - Housing, Land and Property",SOM,Strengthening protection and durable solutions in Somalia through an integrated and holistic Housing Land and Property (HLP) response ,HSOM22-PRO-184548-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-07,,,,,250197,SOM-22/3485/SA1/Shelter-HLP/INGO/21510,2022-04-19,2022-04-19
2022-04-05,,Integrated Shelter/(HLP) and CCCM response to the displaced persons by providing shelter and NFIs and HLP services in Afmadow and Dobley districts in Lower Juba,684705,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Juba Foundation,NGO,Emergency Shelter and NFI,SOM,Provision of Emergency shelter Kits and Non Food Items to the most Vulnerable IDPs and the Host community in South and Central Regions of Somalia,HSOM22-SHL-184445-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-05,,,,,250167,SOM-22/3485/SA1/HLP-Shelter/NGO/21493,2022-04-18,2022-04-18
2022-04-05,,Integrated Shelter/(HLP) and CCCM response to the displaced persons by providing shelter and NFIs and HLP services in Afmadow and Dobley districts in Lower Juba,65245,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Juba Foundation,NGO,"Protection - Housing, Land and Property",SOM,Strengthening and improving the protective environment for the  most vulnerable IDPs and Host communities in South and Central regions of Somalia,HSOM22-PRO-184417-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-05,,,,,250168,SOM-22/3485/SA1/HLP-Shelter/NGO/21493,2022-04-18,2022-04-18
2022-04-05,,"Emergency livelihoods support to drought affected rural communities in Belet_Xaawo district, Gedo region",219999,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Cooperazione Internazionale - COOPI,NGO,Food Security,SOM,Provision of Life Saving assistance to the disaster affected communities in Somalia,HSOM22-FSC-184357-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-05,,,,,250179,SOM-22/3485/SA1/FSC/INGO/21534,2022-04-18,2022-04-18
2022-04-05,,"Emergency Food Security and Livelihood support to the most vulnerable drought affected groups (pastoralists, agro-pastoralists, farmers and rural IDPs) in Luuq and Dollow Districts – Gedo Region",349959,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Mercy Corps,NGO,Food Security,SOM,Livelihood Support for vulnerable IDPs and poor Host Communities in Mudug and Galgadud Regions-Galmudug State of Somalia.,HSOM22-FSC-184389-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-05,,,,,250192,SOM-22/3485/SA1/FSC/INGO/21498,2022-04-19,2022-04-19
2022-04-05,,Increased Immediate Access to Food and Protection of Livestock for Drought Affected IDP and Non-IDP households in Elwak District,199999,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Nomadic Assistance for Peace and Development,NGO,Food Security,SOM,"Increasing Access to Food and Improving the  Resilience and Food Security of Crisis Affected IDP and Non-IDP Communities in Jubaland, Banadir and Galgudud ",HSOM22-FSC-184456-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-05,,,,,250194,SOM-22/3485/SA1/FSC/NGO/21538,2022-04-19,2022-04-19
2022-04-05,,"""Strengthen CCCM services to improve the living conditions and enhancing access to HLP rights of drought-affected IDPs in Bardheere, Ceelwaq, Luuq Gedo Region

""",259937,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Northern Frontier Youth League,NGO,Camp Coordination / Management,SOM,"Provision of Essential Camp Coordination and Camp Management services and Protection of Sites residents for newly displaced and protracted internally IDPs Regions of Banadir, Galmudug, Lower Jubba and Gedo. ",HSOM22-CCM-184764-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-05,,,,,250195,SOM-22/3485/SA1/CCCM-HLP/NGO/21494,2022-04-19,2022-04-19
2022-04-05,,"Provision of emergency lifesaving livelihood support to the most vulnerable drought affected populations (pastoral communities and rural IDPs) in Banderbayla District, Puntland State, Somalia",199999,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Zamzam Foundation,NGO,Food Security,SOM,"Sustainable Livelihood support and strengthening resilience of drought, floods and conflict affected IDPs, returnees and vulnerable communities in Galgadud, Hiraan, Bay, Middle Shabelle and Lower Shabelle Regions, Somalia",HSOM22-FSC-184312-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-05,,,,,250205,SOM-22/3485/SA1/FSC/NGO/21518,2022-04-19,2022-04-19
2022-04-05,2022,"""Strengthen CCCM services to improve the living conditions and enhancing access to HLP rights of drought-affected IDPs in Bardheere, Ceelwaq, Luuq Gedo Region""",139966,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Northern Frontier Youth League,NGO,"Protection - Housing, Land and Property",SOM,"Strengthening protective environment for displacement affected populations In Banadir, Galmudug, Lower Jubba and Gedo Regions through HLP interventions to improve tenure security situation and address post-eviction complications.",HSOM22-PRO-184750-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-04-05,Drought,,,,254740,SOM-22/3485/SA1/CCCM-HLP/NGO/21494,2022-07-04,2022-07-04
